id,drug_name,reaction_term,case_count,drug_total,reaction_total,grand_total,prr,ror,prr_chi_square,signal_status,confidence,first_detected_date,last_updated,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
1,DABIGATRAN,PROCOAGULANT THERAPY,213,213,213,20864371,8319.283,8396.3611,171845.4257,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9953051643192489,0.004694835680751174,33,33,True,passes_robust_filter,3093.8642923945777
2,XOFIGO,HORMONE-REFRACTORY PROSTATE CANCER,193,193,193,20864371,7460.9431,7989.4926,700920.2991,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.27461139896373055,15,15,True,passes_robust_filter,2983.600606732994
3,NEXAVAR,HEPATOCELLULAR CARCINOMA,676,676,676,20864371,389.5065,414.3603,216211.3472,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.25443786982248523,47,47,True,passes_robust_filter,2277.5165882218
4,OFEV,IDIOPATHIC PULMONARY FIBROSIS,357,357,357,20864371,324.4568,331.8349,91907.7826,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9803921568627451,0.5714285714285714,38,38,True,passes_robust_filter,2260.7244656623056
5,ZYPADHERA,POST-INJECTION DELIRIUM SEDATION SYNDROME,203,203,203,20864371,3687.3906,4024.4794,521243.3214,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9950738916256158,0.0,21,21,True,passes_robust_filter,2235.7333863638146
6,MIRENA,GENITAL HAEMORRHAGE,1610,1610,1610,20864371,647.155,672.124,442721.2474,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0,35,35,True,passes_robust_filter,2231.3021671436472
7,JADELLE,PREGNANCY WITH IMPLANT CONTRACEPTIVE,97,97,97,20864371,3464.0925,4231.033,305271.1118,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0,30,30,True,passes_robust_filter,2143.1774749053766
8,JAKAVI,MYELOFIBROSIS,178,178,178,20864371,393.6316,399.9805,57236.4709,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.5674157303370787,37,37,True,passes_robust_filter,2119.5268738527934
9,ADVATE,HAEMARTHROSIS,266,266,266,20864371,1904.4009,2283.3714,439864.2138,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9962406015037594,0.0037593984962406013,19,19,True,passes_robust_filter,1958.9792098986272
10,JAKAVI,PRIMARY MYELOFIBROSIS,68,68,68,20864371,1039.0744,1045.4235,44617.9384,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.75,14,14,True,passes_robust_filter,1938.5069727250236
11,BCG FOR IMMUNOTHERAPY,DISSEMINATED BACILLUS CALMETTE-GUERIN INFECTION,42,42,42,20864371,7700.4123,8228.8033,254300.0122,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.2619047619047619,11,11,True,passes_robust_filter,1903.1191271053335
12,SYNAGIS,RESPIRATORY SYNCYTIAL VIRUS INFECTION,544,544,544,20864371,1065.8389,1178.6036,447753.603,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.8382352941176471,0.03308823529411765,23,23,True,passes_robust_filter,1880.6247397053876
13,IMFINZI,RADIATION PNEUMONITIS,281,281,281,20864371,1821.6455,1963.3634,380306.7338,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.8932384341637011,0.1103202846975089,14,14,True,passes_robust_filter,1838.7651564120888
14,BLINATUMOMAB,ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT,62,62,62,20864371,1399.1155,1480.892,79267.9398,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.3548387096774194,19,19,True,passes_robust_filter,1778.826042433038
15,HEPARIN MANUFACTURER UNKNOWN,HEPARIN-INDUCED THROMBOCYTOPENIA,36,36,36,20864371,2076.0171,2320.9372,70225.0641,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.5555555555555556,13,13,True,passes_robust_filter,1755.1378993157864
16,LAMIVUDINE,VIRAL MUTATION IDENTIFIED,629,629,629,20864371,510.1987,538.5275,247049.3908,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0,30,30,True,passes_robust_filter,1736.8309649426822
17,IMPLANON,PREGNANCY WITH IMPLANT CONTRACEPTIVE,175,175,175,20864371,1151.7318,1219.9724,170619.2329,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9428571428571428,0.0,29,29,True,passes_robust_filter,1711.9740182477094
