drug_name,reaction_term,case_count,prr,ror,prr_chi_square,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
DABIGATRAN,PROCOAGULANT THERAPY,213,8319.283,8396.3611,171845.4257,0.9953051643192489,0.004694835680751174,33,33,True,passes_robust_filter,3093.8642923945777
XOFIGO,HORMONE-REFRACTORY PROSTATE CANCER,193,7460.9431,7989.4926,700920.2991,1.0,0.27461139896373055,15,15,True,passes_robust_filter,2983.600606732994
NEXAVAR,HEPATOCELLULAR CARCINOMA,676,389.5065,414.3603,216211.3472,1.0,0.25443786982248523,47,47,True,passes_robust_filter,2277.5165882218
OFEV,IDIOPATHIC PULMONARY FIBROSIS,357,324.4568,331.8349,91907.7826,0.9803921568627451,0.5714285714285714,38,38,True,passes_robust_filter,2260.7244656623056
ZYPADHERA,POST-INJECTION DELIRIUM SEDATION SYNDROME,203,3687.3906,4024.4794,521243.3214,0.9950738916256158,0.0,21,21,True,passes_robust_filter,2235.7333863638146
MIRENA,GENITAL HAEMORRHAGE,1610,647.155,672.124,442721.2474,1.0,0.0,35,35,True,passes_robust_filter,2231.3021671436472
JADELLE,PREGNANCY WITH IMPLANT CONTRACEPTIVE,97,3464.0925,4231.033,305271.1118,1.0,0.0,30,30,True,passes_robust_filter,2143.1774749053766
JAKAVI,MYELOFIBROSIS,178,393.6316,399.9805,57236.4709,1.0,0.5674157303370787,37,37,True,passes_robust_filter,2119.5268738527934
ADVATE,HAEMARTHROSIS,266,1904.4009,2283.3714,439864.2138,0.9962406015037594,0.0037593984962406013,19,19,True,passes_robust_filter,1958.9792098986272
JAKAVI,PRIMARY MYELOFIBROSIS,68,1039.0744,1045.4235,44617.9384,1.0,0.75,14,14,True,passes_robust_filter,1938.5069727250236
BCG FOR IMMUNOTHERAPY,DISSEMINATED BACILLUS CALMETTE-GUERIN INFECTION,42,7700.4123,8228.8033,254300.0122,1.0,0.2619047619047619,11,11,True,passes_robust_filter,1903.1191271053335
SYNAGIS,RESPIRATORY SYNCYTIAL VIRUS INFECTION,544,1065.8389,1178.6036,447753.603,0.8382352941176471,0.03308823529411765,23,23,True,passes_robust_filter,1880.6247397053876
IMFINZI,RADIATION PNEUMONITIS,281,1821.6455,1963.3634,380306.7338,0.8932384341637011,0.1103202846975089,14,14,True,passes_robust_filter,1838.7651564120888
BLINATUMOMAB,ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT,62,1399.1155,1480.892,79267.9398,1.0,0.3548387096774194,19,19,True,passes_robust_filter,1778.826042433038
HEPARIN MANUFACTURER UNKNOWN,HEPARIN-INDUCED THROMBOCYTOPENIA,36,2076.0171,2320.9372,70225.0641,1.0,0.5555555555555556,13,13,True,passes_robust_filter,1755.1378993157864
LAMIVUDINE,VIRAL MUTATION IDENTIFIED,629,510.1987,538.5275,247049.3908,1.0,0.0,30,30,True,passes_robust_filter,1736.8309649426822
IMPLANON,PREGNANCY WITH IMPLANT CONTRACEPTIVE,175,1151.7318,1219.9724,170619.2329,0.9428571428571428,0.0,29,29,True,passes_robust_filter,1711.9740182477094
YESCARTA,CYTOKINE RELEASE SYNDROME,795,988.9566,1198.8512,645061.1741,0.9886792452830189,0.09433962264150944,10,10,True,passes_robust_filter,1705.5158204780607
IMPLANON NXT,PREGNANCY WITH IMPLANT CONTRACEPTIVE,87,2366.5693,2704.5078,188489.5543,1.0,0.0,21,21,True,passes_robust_filter,1699.6085573095008
ANTIHEMOPHILIC FACTOR RECOMBINANT FC FUSION PROTEIN,FACTOR VIII INHIBITION,21,30855.686,53198.7345,574936.1216,1.0,0.0,9,9,True,passes_robust_filter,1601.21933222374
GONAL-F,OVARIAN HYPERSTIMULATION SYNDROME,101,2972.418,3470.1182,269984.9431,1.0,0.0,13,13,True,passes_robust_filter,1591.538020004606
LAMIVUDINE,VIROLOGIC FAILURE,557,341.5837,358.2567,157958.0165,1.0,0.010771992818671455,32,32,True,passes_robust_filter,1535.1940125459244
BLINATUMOMAB,B PRECURSOR TYPE ACUTE LEUKAEMIA,24,6030.7122,6162.5092,104749.6727,1.0,0.75,5,5,True,passes_robust_filter,1533.364056734985
JAYDESS,ECTOPIC PREGNANCY WITH CONTRACEPTIVE DEVICE,71,2548.1288,2700.1004,154453.5539,1.0,0.0,17,17,True,passes_robust_filter,1532.1602040102985
ACTILYSE,HAEMORRHAGIC TRANSFORMATION STROKE,49,868.2703,892.4985,38683.0735,1.0,0.46938775510204084,17,17,True,passes_robust_filter,1528.1232332363109
IMPLANON NXT,UNINTENDED PREGNANCY,85,1673.0179,1905.6227,132959.6427,1.0,0.0,20,20,True,passes_robust_filter,1520.674421392416
ORGALUTRAN,OVARIAN HYPERSTIMULATION SYNDROME,111,5452.7382,7373.827,539553.5814,1.0,0.009009009009009009,7,7,True,passes_robust_filter,1517.236064376517
BORTEZOMIB,PLASMA CELL MYELOMA,856,170.3745,193.0142,136004.1444,0.9988317757009346,0.13200934579439252,38,38,True,passes_robust_filter,1517.0950009687592
OVITRELLE,OVARIAN HYPERSTIMULATION SYNDROME,156,4099.2984,5042.2697,545699.1403,1.0,0.0,7,7,True,passes_robust_filter,1491.4270063850915
VIAGRA,ERECTION INCREASED,499,4463.2718,4748.7794,800416.2455,0.4529058116232465,0.0,9,9,True,passes_robust_filter,1479.1646642441847
OSIMERTINIB,ACQUIRED GENE MUTATION,97,1485.0234,1567.4219,125858.6935,1.0,0.13402061855670103,13,13,True,passes_robust_filter,1474.8161266959805
GLIVEC,CHRONIC MYELOID LEUKAEMIA,98,168.5135,170.2821,15014.8102,1.0,0.6938775510204082,33,33,True,passes_robust_filter,1449.2522503121493
ATRA,ACUTE PROMYELOCYTIC LEUKAEMIA DIFFERENTIATION SYNDROME,15,9168.0865,9750.7403,115715.1379,1.0,0.4,8,8,True,passes_robust_filter,1429.4616182981833
SYNAGIS,RESPIRATORY SYNCYTIAL VIRUS TEST POSITIVE,59,3233.2512,3267.172,99662.7913,0.7457627118644068,0.06779661016949153,16,16,True,passes_robust_filter,1427.199126569007
EYLEA,ENDOPHTHALMITIS,412,364.341,373.9746,116469.2979,0.9830097087378641,0.0024271844660194173,29,29,True,passes_robust_filter,1424.299723853839
GLIVEC,BLAST CRISIS IN MYELOGENOUS LEUKAEMIA,40,369.0202,370.5963,12277.4758,1.0,0.85,18,18,True,passes_robust_filter,1415.8128326185156
MIRENA,DEVICE DISLOCATION,2646,161.1126,171.5403,315451.232,0.9931972789115646,0.0007558578987150416,30,30,True,passes_robust_filter,1414.8225194658203
ALL-TRANS RETINOIC ACID ATRA,ACUTE PROMYELOCYTIC LEUKAEMIA DIFFERENTIATION SYNDROME,9,15932.3428,17869.9385,120262.8784,1.0,0.5555555555555556,7,7,True,passes_robust_filter,1411.2546206748464
JARDIANCE,DIABETIC KETOACIDOSIS,1052,136.4292,144.1563,125363.1836,0.9980988593155894,0.021863117870722433,55,55,True,passes_robust_filter,1401.7543901887414
KYLEENA,ECTOPIC PREGNANCY WITH CONTRACEPTIVE DEVICE,138,1226.6184,1255.6895,124256.6291,1.0,0.007246376811594203,15,15,True,passes_robust_filter,1398.954996922712
