method,threshold_name,threshold_value,recall,precision,n_signals
prr_ror,prr>1.5;cases>=3,1.5,0.14285714285714285,1.9770738516166533e-06,505798
prr_ror,prr>1.5;cases>=5,1.5,0.14285714285714285,3.7658117018832826e-06,265547
prr_ror,prr>1.5;cases>=10,1.5,0.14285714285714285,8.392570896242646e-06,119153
prr_ror,prr>2.0;cases>=3,2.0,0.14285714285714285,1.9793357349273584e-06,505220
prr_ror,prr>2.0;cases>=5,2.0,0.14285714285714285,3.7712367771010505e-06,265165
prr_ror,prr>2.0;cases>=10,2.0,0.14285714285714285,8.408307407718826e-06,118930
prr_ror,prr>3.0;cases>=3,3.0,0.14285714285714285,2.536577446782605e-06,394232
prr_ror,prr>3.0;cases>=5,3.0,0.14285714285714285,5.014919385170883e-06,199405
prr_ror,prr>3.0;cases>=10,3.0,0.14285714285714285,1.1480792633923446e-05,87102
prr_ror,prr>5.0;cases>=3,5.0,0.0,0.0,287318
prr_ror,prr>5.0;cases>=5,5.0,0.0,0.0,140597
prr_ror,prr>5.0;cases>=10,5.0,0.0,0.0,59941
bcpnn_ic025,ic025,0.0,0.2857142857142857,1.629420822368689e-05,122743
bcpnn_ic025,ic025,0.5,0.14285714285714285,1.5032394810817312e-05,66523
bcpnn_ic025,ic025,1.0,0.0,0.0,36869
ebgm_eb05,eb05,1.5,0.14285714285714285,3.3641376201417647e-06,297253
ebgm_eb05,eb05,2.0,0.14285714285714285,4.878024985243974e-06,205001
ebgm_eb05,eb05,3.0,0.0,0.0,115040
