drug_name,reaction_term,signal_first_detected_date,cumulative_case_count_at_detection,prr_at_detection,ror_at_detection,report_year,report_quarter
APIXABAN,HAEMORRHAGE,2018-03-31,108,8.7958,9.0524,2018,1
ATOMOXETINE,SUICIDAL IDEATION,2019-03-31,3,11.9896,12.4674,2019,1
BUPROPION,SEIZURE,2018-03-31,8,4.7201,4.8193,2018,1
CIPROFLOXACIN,TENDON RUPTURE,2018-03-31,3,40.5462,41.2609,2018,1
CLOZAPINE,AGRANULOCYTOSIS,2018-03-31,12,91.3326,95.8492,2018,1
DABIGATRAN,HAEMORRHAGE,2018-03-31,34,7.5917,7.7927,2018,1
DRONEDARONE,CARDIAC FAILURE,2018-12-31,4,37.0517,41.7035,2018,4
ISOTRETINOIN,DEPRESSION,2018-06-30,3,3.5934,3.6808,2018,2
LAMOTRIGINE,HAEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS,2019-03-31,3,17.573,17.612,2019,1
LEVOFLOXACIN,TENDON RUPTURE,2018-03-31,15,83.6259,86.3986,2018,1
MONTELUKAST,SUICIDAL IDEATION,2018-06-30,4,5.0175,5.0853,2018,2
MOXIFLOXACIN,AORTIC ANEURYSM,2020-12-31,3,9.5897,9.6082,2020,4
NATALIZUMAB,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,2019-03-31,3,447.0838,517.5181,2019,1
NIVOLUMAB,IMMUNE-MEDIATED HEPATITIS,2018-09-30,5,68.6866,68.8683,2018,3
PEMBROLIZUMAB,IMMUNE-MEDIATED PNEUMONITIS,2019-12-31,6,371.4757,373.35,2019,4
PIOGLITAZONE,BLADDER CANCER,2018-12-31,3,25.5824,25.8822,2018,4
RIVAROXABAN,HAEMORRHAGE,2018-03-31,87,6.9745,7.1332,2018,1
ROFECOXIB,MYOCARDIAL INFARCTION,2019-12-31,3,4.5446,4.6132,2019,4
UPADACITINIB,MYOCARDIAL INFARCTION,2020-03-31,3,3.7586,3.8019,2020,1
ZOLPIDEM,SOMNAMBULISM,2018-06-30,5,20.877,21.0025,2018,2
